outcome,outcome_clean,temp1,melting_temp2,annealing_temp2,extension_temp2,cycles2,temp3,band_size,dna_amt,t1(sec),melting_t2(sec),annealing_t3(sec),extension_t4(sec),t5(sec),Tm_p1_p3orig,Tm_p2_p3orig,Tm_p1_p3,Tm_p2_p3,Tm_p1_BSU,Tm_p2_BSU,Tm_dif_IDT,HPin_Tm_Max,Heterodimer_tm,Homodimer_maxTm,GC_ClampMin,GC_ClampMax,MaxTm_IDT,MinTm_IDT,MaxGC,MinGC,MaxPlen,MinPlen,TotPrimer
1,1,94,94,56,72,44,72,500,50,30,30,30,45,600,53.40041141,54.8539628,54.23262115,53.57563988,57.83351412,55.21403704,1.088209109,40.19282917,0,0,29,44,54.61555786,53.52734875,64.70588235,38.46153846,26,17,0.4
1,1,94,94,60,68,25,68,400,200,30,30,30,30,300,56.18442342,54.60959782,56.41272862,55.79099658,59.92863477,58.22588139,0.38535791,52.35830917,0,0,37,38,55.32789373,54.94253582,66.66666667,40.74074074,27,18,0.5
1,1,94,94,62,72,35,72,900,200,30,30,30,60,300,54.51828555,68.55768715,54.60737653,72.12293164,58.81690648,74.73152067,16.44213245,48.43138962,0,5.087601223,33,36,70.86118492,54.41905247,63.15789474,56.41025641,39,19,0.5
1,1,98,98,64,72,35,72,600,200,30,20,15,45,300,53.39911948,56.32597781,54.1782668,56.66930494,56.77541696,59.99540341,0.837049605,48.3802409,0,0,27,47,54.74314233,53.90609272,72.22222222,40,25,18,0.5
1,1,98,98,64,72,35,72,600,200,30,20,15,45,300,63.78021962,56.32597781,66.02207071,56.66930494,68.76227309,59.99540341,9.922763539,63.24284418,0,9.18680677,33,47,64.66590587,54.74314233,72.22222222,50,30,18,0.5
1,1,98,98,64,72,44,72,1500,50,30,20,15,45,300,64.66390756,57.2665435,67.83185837,58.70975404,70.20177649,61.17581929,8.531015658,42.09119863,1.360070455,7.899888894,30,32,66.51068675,57.97967109,44.44444444,43.90243902,41,27,0.5
1,1,98,98,64,72,44,72,2500,50,30,20,15,90,300,58.28068563,54.77774098,58.72063278,55.32726294,60.50685638,58.4811643,3.407256289,48.06541015,9.996683641,0,35,36,57.49131741,54.08406112,60,57.14285714,21,20,0.5
1,1,98,98,64,72,44,72,1600,50,30,20,15,60,300,61.63086512,62.02745517,63.28962085,63.71446102,65.50375089,66.41500396,0.528082442,54.11861398,0,13.86317006,37,39,61.81537395,61.2872915,65.2173913,62.5,24,23,0.5
0,0,98,98,64,72,44,72,900,50,30,20,15,45,300,56.35470438,56.74842426,57.1338426,57.78370819,60.06770147,61.46358309,0.242962957,50.4120988,14.04451862,0,37,37,56.29224345,56.0492805,61.9047619,54.54545455,22,21,0.5
1,1,94,94,64,72,44,72,900,50,30,30,30,45,300,56.35470438,56.74842426,57.02174016,57.52770466,60.75346569,62.06512319,0.255477764,50.76293616,14.42454478,0,37,37,57.16785467,56.9123769,61.9047619,54.54545455,22,21,0.5
1,1,95,95,55,68,20,68,9.9,200,30,30,60,540,600,74.26053451,73.90326393,78.88734627,78.30815541,81.1150552,80.14054186,0.643071397,62.61626807,75.97566554,28.78552461,33,34,76.20844875,75.56537735,59.57446809,57.69230769,52,47,0.5
